"id","institutionCode","collectionCode","ownerInstitutionCode","basisOfRecord","occurrenceID","catalogNumber","otherCatalogNumbers","kingdom","phylum","class","order","family","scientificName","scientificNameAuthorship","genus","specificEpithet","taxonRank","infraspecificEpithet","identifiedBy","dateIdentified","identificationReferences","identificationRemarks","taxonRemarks","identificationQualifier","typeStatus","recordedBy","recordedByID","associatedCollectors","recordNumber","eventDate","year","month","day","startDayOfYear","endDayOfYear","verbatimEventDate","occurrenceRemarks","habitat","substrate","verbatimAttributes","fieldNumber","informationWithheld","dataGeneralizations","dynamicProperties","associatedTaxa","reproductiveCondition","establishmentMeans","cultivationStatus","lifeStage","sex","individualCount","samplingProtocol","samplingEffort","preparations","country","stateProvince","county","municipality","locality","locationRemarks","localitySecurity","localitySecurityReason","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","verbatimCoordinates","georeferencedBy","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","verbatimDepth","verbatimElevation","disposition","language","recordEnteredBy","modified","sourcePrimaryKey","collId","recordId","references"
5235440,"WIS","","","PreservedSpecimen","4aab2d2b-6c4a-4836-9eae-1fae3b3abf7f","v0164660WIS","273169","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis virginiana","P. Mill.","Physalis","virginiana","","","","","","","","","","Leitner, Lawrence",NA,"","3351","1989-06-13",1989,6,13,164,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Wisconsin","Jefferson","","N/A","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-10-16 04:21:13","c362452e-f95b-11e2-9dec-002590257708",198,"urn:uuid:4aab2d2b-6c4a-4836-9eae-1fae3b3abf7f","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=5235440"
5235561,"WIS","","","PreservedSpecimen","68143cfe-ee45-47a7-ac98-47f40afbb677","v0075594WIS","185490","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis virginiana","P. Mill.","Physalis","virginiana","","","","","","","","","","Fields, Douglas",NA,"","1677","1994-07-19",1994,7,19,200,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Wisconsin","Taylor","","N/A","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-10-16 04:21:13","b991833e-f95b-11e2-9dec-002590257708",198,"urn:uuid:68143cfe-ee45-47a7-ac98-47f40afbb677","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=5235561"
5236621,"WIS","","","PreservedSpecimen","03900841-785e-49d3-b3d2-2d7a68bcb657","v0164788WIS","273297","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis virginiana","P. Mill.","Physalis","virginiana","","","","","","","","","","Williams, R.",NA,"","s.n.","1957-06-29",1957,6,29,180,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Wisconsin","Adams","","G-W road, 2mi. S of Grand Marsh.","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-10-16 04:21:13","c3634bd6-f95b-11e2-9dec-002590257708",198,"urn:uuid:03900841-785e-49d3-b3d2-2d7a68bcb657","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=5236621"
5236913,"WIS","","","PreservedSpecimen","9778064f-65a7-4eaa-803e-e9dd90bc3e73","v0164647WIS","273156","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis virginiana","P. Mill.","Physalis","virginiana","","","","","","","","","","Musselman, Lytton",NA,"","2017","1968-07-08",1968,7,8,190,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Wisconsin","Crawford","","Haney Twp.","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-10-16 04:21:13","c361f84e-f95b-11e2-9dec-002590257708",198,"urn:uuid:9778064f-65a7-4eaa-803e-e9dd90bc3e73","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=5236913"
5238144,"WIS","","","PreservedSpecimen","ef4dcba4-e77d-4471-a251-1be268ce1f49","v0164704WIS","273213","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis virginiana","P. Mill.","Physalis","virginiana","","","","","","","","","","Schenk, Ray; Niss, H.",NA,"","s.n.","1943-06-18",1943,6,18,169,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Wisconsin","Waukesha","","Vicinity of Chenequa near Niss's.","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-10-16 04:21:13","c3629772-f95b-11e2-9dec-002590257708",198,"urn:uuid:ef4dcba4-e77d-4471-a251-1be268ce1f49","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=5238144"
5239005,"WIS","","","PreservedSpecimen","1c8a4f50-08a8-4f46-9d09-7dd6f99c3d59","v0164654WIS","273163","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis virginiana","P. Mill.","Physalis","virginiana","","","","","","","","","","Nee, Mike",NA,"","16196","1978-07-04",1978,7,4,185,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Wisconsin","Richland","","4mi. NE of Boscobel [Grant Co.].","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-10-16 04:21:13","c36218ba-f95b-11e2-9dec-002590257708",198,"urn:uuid:1c8a4f50-08a8-4f46-9d09-7dd6f99c3d59","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=5239005"
5240059,"WIS","","","PreservedSpecimen","b515a5b1-666e-4c2b-829b-876668a66355","v0164747WIS","273256","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis virginiana","P. Mill.","Physalis","virginiana","","","","","","","","","","Bachmann, Freda; Richards, M.; Shearer",NA,"","s.n.","1928-07-05",1928,7,5,187,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Wisconsin","Dunn","","tramway","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-10-16 04:21:13","c362f938-f95b-11e2-9dec-002590257708",198,"urn:uuid:b515a5b1-666e-4c2b-829b-876668a66355","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=5240059"
5247813,"WIS","","","PreservedSpecimen","2cc0d087-431c-402c-ba1d-be7483704b16","v0164784WIS","273293","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis virginiana","P. Mill.","Physalis","virginiana","","","","","","","","","","Gunderson, J.",NA,"","196","1969-06-21",1969,6,21,172,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Wisconsin","Waushara","","3.5mi. SE of Pine River and 1mi. E of CTH E.","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-10-16 04:21:13","c3634474-f95b-11e2-9dec-002590257708",198,"urn:uuid:2cc0d087-431c-402c-ba1d-be7483704b16","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=5247813"
5250021,"WIS","","","PreservedSpecimen","aff52648-1273-47ac-9193-be7fca6ddf59","v0164686WIS","273195","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis virginiana","P. Mill.","Physalis","virginiana","","","","","","","","","","Watson, S.",NA,"","s.n.","",NA,NA,NA,NA,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Wisconsin","Dane","","Madison","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-10-16 04:21:13","c36275ee-f95b-11e2-9dec-002590257708",198,"urn:uuid:aff52648-1273-47ac-9193-be7fca6ddf59","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=5250021"
5253748,"WIS","","","PreservedSpecimen","e8e8c31f-2c9f-417b-a92b-433703dac304","v0164735WIS","273244","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis virginiana","P. Mill.","Physalis","virginiana","","","","","","","","","","Goessl, Chas.",NA,"","s.n.","1917-07-02",1917,7,2,183,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Wisconsin","Juneau","","Camp Douglas","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-10-16 04:21:13","c362e1be-f95b-11e2-9dec-002590257708",198,"urn:uuid:e8e8c31f-2c9f-417b-a92b-433703dac304","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=5253748"
