"id","institutionCode","collectionCode","ownerInstitutionCode","basisOfRecord","occurrenceID","catalogNumber","otherCatalogNumbers","kingdom","phylum","class","order","family","scientificName","scientificNameAuthorship","genus","specificEpithet","taxonRank","infraspecificEpithet","identifiedBy","dateIdentified","identificationReferences","identificationRemarks","taxonRemarks","identificationQualifier","typeStatus","recordedBy","recordedByID","associatedCollectors","recordNumber","eventDate","year","month","day","startDayOfYear","endDayOfYear","verbatimEventDate","occurrenceRemarks","habitat","substrate","verbatimAttributes","fieldNumber","informationWithheld","dataGeneralizations","dynamicProperties","associatedTaxa","reproductiveCondition","establishmentMeans","cultivationStatus","lifeStage","sex","individualCount","samplingProtocol","samplingEffort","preparations","country","stateProvince","county","municipality","locality","locationRemarks","localitySecurity","localitySecurityReason","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","verbatimCoordinates","georeferencedBy","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","verbatimDepth","verbatimElevation","disposition","language","recordEnteredBy","modified","sourcePrimaryKey","collId","recordId","references"
5071933,"WIS","","","PreservedSpecimen","c51aa1c7-89c2-4667-9c23-9df73b90e07b","v0164605WIS","273114","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis philadelphica","Lam.","Physalis","philadelphica","","","","","","","","","","Hansen, Bruce; Nee, Mike",NA,"","1356","1972-09-16",1972,9,16,260,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Wisconsin","Lafayette","","[E of Gratiot]","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-10-16 04:21:13","c36192c8-f95b-11e2-9dec-002590257708",198,"urn:uuid:c51aa1c7-89c2-4667-9c23-9df73b90e07b","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=5071933"
5262022,"WIS","","","PreservedSpecimen","a2aafd77-ded4-4475-aae5-a3f70266df37","v0164606WIS","273115","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis philadelphica","Lam.","Physalis","philadelphica","","","","","","","","","","Schumann, W.",NA,"","s.n.","1895-07-25",1895,7,25,206,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Wisconsin","Crawford","","Prairie du Chien","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-10-16 04:21:13","c36194a8-f95b-11e2-9dec-002590257708",198,"urn:uuid:a2aafd77-ded4-4475-aae5-a3f70266df37","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=5262022"
7504424,"MICH","","","PreservedSpecimen","5db4fa52-0a7e-4b0d-9feb-93685524af76","1228299","133395.00","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis philadelphica","Lam.","Physalis","philadelphica","","","","","","","","","","O.A. Farwell",NA,"","8982","1931-08-11",1931,8,11,223,NA,"11 Aug 1931","[hairs retrorse] [""In borders of brush"" Pap. Mich. Acad. 26: 18.1941]","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Michigan","Wayne","","Dearborn","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-01-08 14:15:46","1685856",204,"urn:uuid:5db4fa52-0a7e-4b0d-9feb-93685524af76","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=7504424"
7504539,"MICH","","","PreservedSpecimen","ff17abe3-353d-447d-97be-ea0d5548fde2","1228298","133654.00","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis philadelphica","Lam.","Physalis","philadelphica","","","","1989","","","","","","C.K. Dodge",NA,"","","1899-08-31",1899,8,31,243,NA,"31 Aug 1899","[Note very short pedicels!] [""not yet established here..."" Dodge 1900 p.298]","In gardens as a weed. Apparently infrequent.","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Michigan","St. Clair","","This specimen taken from a garden in city of Port Huron.","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-01-08 14:15:46","1685971",204,"urn:uuid:ff17abe3-353d-447d-97be-ea0d5548fde2","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=7504539"
7504583,"MICH","","","PreservedSpecimen","01f257e6-827a-4f0e-bc38-0d9eb13b16e8","1228297","133752.00","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis philadelphica","Lam.","Physalis","philadelphica","","","","","","","","","","C.H. Stocking",NA,"","s.n.","1861-08-27",1861,8,27,239,NA,"27 Aug 1861","[Scripsit E.C. Allmendinger]According to the University of Michigan ?Catalogue of Graduates, Non-Graduates?? published in 1823, Charles Henry Stocking graduated in 1861 (A.B.), served during the Civil War as ?Asst. Surg.? 1862-1865, received an A.M. in 18","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Michigan","Lenawee","","Tec. [=Tecumseh].","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-03-15 14:10:48","1686015",204,"urn:uuid:01f257e6-827a-4f0e-bc38-0d9eb13b16e8","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=7504583"
7545984,"MICH","","","PreservedSpecimen","9e5a0715-8608-4732-8c15-91cae6b360c9","1109902","171189.00","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis philadelphica","Lam.","Physalis","philadelphica","","","O. Vargas","1997","","","","","Holotype","R. McVaugh",NA,"","17931","1958-09-16",1958,9,16,259,NA,"16 Sep 1958","Abundant in partial shade. Bushy annual herb 1 m. high; flowers bright yellow, marked pale brown; anthers blue, filaments purple.","among broken rocks, in sparse woodland of Cordia, Amphipterygium, Apoplanesia","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","Mexico","Michoacán","","","Old lava flows 4 mi. NW of Apatzingan","",NA,NA,NA,NA,"",NA,"","","","","","",91,91,NA,NA,NA,"300","","","","2015-01-08 14:15:46","1752003",204,"urn:uuid:9e5a0715-8608-4732-8c15-91cae6b360c9","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=7545984"
7546078,"MICH","","","PreservedSpecimen","3a5c3b77-5bdf-470a-9c40-700f46c5ec5a","1109899","171090.00","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis philadelphica","Lam.","Physalis","philadelphica","","","O. Vargas","1997","","","","","Holotype","C. Feddema",NA,"","582","1959-08-16",1959,8,16,228,NA,"16 Aug 1959","Occasional. Ascending. Petals yellow; anthers gray green.","Wet meadows near the highway; loam soil; partial shade.","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","Mexico","Nayarit","","","12 mi. S.E. of Tepic and nearly S of Cerro Sangangüey","",NA,NA,NA,NA,"",NA,"","","","","","",305,305,NA,NA,NA,"1000","","","","2015-01-08 14:15:46","1752118",204,"urn:uuid:3a5c3b77-5bdf-470a-9c40-700f46c5ec5a","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=7546078"
6977243,"ILLS","","","PreservedSpecimen","2ae3fa84-746a-4151-be86-847918af0cdc","ILLS00016457","119216","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis philadelphica","Lam.","Physalis","philadelphica","","","","","","","Det.: Janet R. Sullivan (5/92) Flora N. America","","","J.O. Neill",NA,"","5410","1951-06-15",1951,6,15,166,NA,"","","Street divider.","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Illinois","Saint Clair","","East St. Louis.","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-07-16 18:41:35","140318",234,"urn:uuid:2ae3fa84-746a-4151-be86-847918af0cdc","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=6977243"
6977740,"ILLS","","","PreservedSpecimen","172dd4bd-1aa7-4475-915b-70c841c62af0","ILLS00016456","180871","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis philadelphica","Lam.","Physalis","philadelphica","","","","","","","","","","Mark A. Basinger",NA,"","6732","1993-09-06",1993,9,6,249,NA,"","","Margin of a cultivated field and along roadside that leads to Miller City at Horseshoe Lake Conservation Area.","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Illinois","Alexander","","Roadside that leads to Miller City at Horseshoe Lake Conservation Area.","",NA,NA,NA,NA,"",NA,"T. 16S, R. 2W, Sect. 18","","","","","",NA,NA,NA,NA,NA,"","","","","2015-07-16 18:41:35","140815",234,"urn:uuid:172dd4bd-1aa7-4475-915b-70c841c62af0","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=6977740"
11104582,"MSC","","","PreservedSpecimen","8d8b2a0f-b247-4fe1-987a-0f10e7ef7041","MSC0202755","","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis philadelphica","Lam.","Physalis","philadelphica","","","","","","","","","","",NA,"","","",NA,NA,NA,NA,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","","","","","","",0,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","Becca Albert","2016-08-27 05:12:49","",236,"urn:uuid:8d8b2a0f-b247-4fe1-987a-0f10e7ef7041","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=11104582"
