"decimalLatitude","decimalLongitude"
32.5906,-113.647
34.1222,-114.207
33.8037,-113.373
29.462867,-109.184517
33.480061,-111.620747
33.480074,-111.612729
33.492376,-111.596227
28.65878,-113.9891
29.43333,-114.7167
29.1,-110.2139
32.3597,-114.104
30.29167,-114.65
26.75139,-109.1417
31.3439,-110.2822
32.1354,-110.6008
32.55525,-112.86203
28.716667,-112.291667
35.864167,-114.659
32.617333,-113.098167
32.60892,-113.325264
32.309383,-110.720983
31.6823,-110.4706
32.65833,-112.8
33,-116
34.283267,-114.521733
24.18333,-110.1833
28.75,-113.5833
31.76667,-113.5917
28.4,-112.9
25.2,-110.7
24.9,-112.1
29.83333,-112.6167
32.23333,-114.05
31.88333,-113.3667
32,-113.6333
