"decimalLatitude","decimalLongitude"
33.99455,-85.470833
33.812733,-87.811562
31.885445,-86.028929
33.8833,-107.517498
36.626129,-88.91371
40.20044,-89.85788
40.17514,-90.08611
40.318236,-75.905639
40.84395,-80.0732
40.86275,-80.13081
40.61313,-79.72923
40.43371,-79.94138
40.5363,-79.96742
40.5363,-79.96742
40.53035,-79.84925
40.39125,-79.77319
40.53035,-79.84925
40.397221,-76.710284
39.848645,-75.352349
39.930833,-75.552222
41.394339,-75.702142
40.82246,-79.52733
40.82246,-79.52733
39.870881,-79.494581
39.870881,-79.494581
40.41987,-79.21996
41.35691,-79.22092
41.06021,-79.26867
40.10252,-78.95579
40.38103,-79.75983
41.80164,-80.06158
41.652072,-80.419579
41.00102,-80.26413
40.64038,-75.36223
39.933842,-75.180804
40.209498,-74.772952
40.43176,-79.87714
40.62255,-79.76298
40.6643521,-79.2403791
40.91667,-80.35
42.25,-79.78333
40.4255555556,-79.9061111111
40.15325,-80.27277777777
29.649444,-98.174167
30.65,-94.666667
28.444611,-98.704861
39.9668412,-105.2689312
40.5734291,-105.1817563
40.0149774,-105.2705492
39.9555456,-105.2297251
39.9997397,-105.2900418
39.9997397,-105.2900418
39.9866668,-105.2825255
39.9858135,-105.2498785
39.7057854,-104.9369612
38.8417715,-104.9745605
39.9640454,-105.2369897
40.007933,-105.325117
